資料日期,股票代號,股票名稱,本週餘額,上週餘額,增減數額,增減比率,發行比率
1090529,00789B,FH公司債A3,65600,98100,-32500,-33.12,100.00
1090529,00790B,FH次順位IG金融債,2100,2100,0,0.00,100.00
1090529,00791B,FH美元信用債1-5Y,355100,355100,0,0.00,100.00
1090529,00792B,群益A級公司債,311115,307115,4000,1.30,100.00
1090529,00793B,群益AAA-A醫療債,4526,4526,0,0.00,100.00
1090529,00794B,群益7+中國政金債,381687,381687,0,0.00,100.00
1090529,00795B,中信美國公債20年,299598,278098,21500,7.73,94.03
1090529,00796B,中信中國債7-10,107970,107970,0,0.00,100.00
1090529,00798B,國泰中企A級債7+,1071,1571,-500,-31.82,100.00
1090529,00799B,國泰A級醫療債,12036,12036,0,0.00,100.00
1090529,00831B,新光美債1-3,107100,107100,0,0.00,100.00
1090529,00832B,新光美債20+,5300,5300,0,0.00,100.00
1090529,00833B,第一金美債20+,5081,5081,0,0.00,100.00
1090529,00834B,第一金金融債10+,30198,30198,0,0.00,100.00
1090529,00835B,第一金科技債10+,691,691,0,0.00,100.00
1090529,00836B,永豐10年A公司債,234541,234541,0,0.00,100.00
1090529,00837B,永豐15年金融債,1041,1041,0,0.00,100.00
1090529,00838B,永豐7-10年中國債,16691,16691,0,0.00,100.00
1090529,00839B,凱基醫療保健債,32941,28941,4000,13.82,100.00
1090529,00840B,凱基IG精選15+,32431,35931,-3500,-9.74,100.00
1090529,00841B,凱基AAA-AA公司債,33940,33940,0,0.00,100.00
1090529,00842B,台新美元銀行債,32767,33267,-500,-1.50,100.00
1090529,00843B,台新中國政策債,6021,6021,0,0.00,100.00
1090529,00844B,新光15年IG金融債,41175,41175,0,0.00,100.00
1090529,00845B,富邦新興投等債,54551,54551,0,0.00,100.00
1090529,00846B,富邦歐洲銀行債,111350,111350,0,0.00,100.00
1090529,00847B,中信美國市政債,14805,14805,0,0.00,100.00
1090529,00848B,中信新興亞洲債,378566,378066,500,0.13,100.00
1090529,00849B,中信EM主權債0-5,704606,704606,0,0.00,100.00
1090529,00853B,統一美債10年Aa-A,4634,4634,0,0.00,100.00
1090529,00854B,富邦全球保險債,454,454,0,0.00,100.00
1090529,00855B,富邦全球能源債,683,683,0,0.00,100.00
1090529,00856B,永豐1-3年美公債,19292,44792,-25500,-56.92,100.00
1090529,00857B,永豐20年美公債,7768,7768,0,0.00,100.00
1090529,00858 ,永豐美國500大,531374,531374,0,0.00,100.00
1090529,00859B,群益0-1年美債,12011,12011,0,0.00,100.00
1090529,00860B,群益1-5年IG債,35171,35171,0,0.00,100.00
1090529,00862B,中信投資級公司債,33881,33881,0,0.00,100.00
1090529,00863B,中信全球電信債,100964,100964,0,0.00,100.00
1090529,00864B,中信美國公債0-1,15222,27722,-12500,-45.09,100.00
1090529,00867B,新光A-BBB電信債,38650,38650,0,0.00,100.00
1090529,00868B,FT1-3年美公債,5324,5324,0,0.00,100.00
1090529,00869B,FT10-25年公司債,6282,6282,0,0.00,100.00
1090529,00870B,元大15年EM主權債,224651,199151,25500,12.80,100.00
1090529,00871B,元大中國政金債,3570,3570,0,0.00,100.00
